Mood,song_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,song_uri
Happy,Magic In The Hamptons (feat. Lil Yachty),Social House,77.0,0.769,0.479,1.0,-5.339,1.0,0.0385,0.182,0.0,0.0914,0.803,96.051,2.744,spotify:track:2Yer0p7uB2lVBUAtANuuQp
Happy,Never Gonna Not Dance Again,P!nk,77.0,0.668,0.802,5.0,-4.005,0.0,0.0917,0.0273,0.0,0.163,0.769,113.796,3.76315,spotify:track:6sZo5nJIsFWXefRCCexpx0
Happy,Chemical,Post Malone,77.0,0.48,0.895,2.0,-4.872,1.0,0.0426,0.00183,0.0,0.111,0.356,127.845,3.06675,spotify:track:4qzEjmuz380jeiBJp31oDY
Happy,Jerusalema (feat. Nomcebo Zikode),Master KG,77.0,0.88,0.483,1.0,-7.012,1.0,0.0505,0.0185,8.68e-06,0.0607,0.827,124.009,3.3054166666666664,spotify:track:2MlOUXmcofMackX3bxfSwi
Happy,Anyone For You (Tiger Lily),George Ezra,77.0,0.662,0.807,10.0,-3.285,1.0,0.0411,0.293,3.55e-06,0.189,0.772,103.031,3.128033333333333,spotify:track:44JSreJxvgl3CxLo5MoQL0
Happy,Don’t Wake Me Up,Jonas Blue,77.0,0.621,0.747,11.0,-5.084,1.0,0.0337,0.222,2.7275e-05,0.147,0.426,124.015,3.148233333333333,spotify:track:3LEgGAl9zLcQWGTp7ptqtQ
Happy,Dive,Hot Shade,76.0,0.654,0.787,4.0,-4.999,1.0,0.0502,0.00515,0.0,0.144,0.409,123.979,2.7415,spotify:track:2aXC0fD6qziwlOZZqhCqTd
Happy,Sweetest Pie,Megan Thee Stallion,76.0,0.814,0.628,7.0,-7.178,1.0,0.093975,0.167,0.0,0.101,0.677,123.977,3.355566666666667,spotify:track:7mFj0LlWtEJaEigguaWqYh
Happy,What A Man Gotta Do,Jonas Brothers,76.0,0.852,0.698,9.0,-7.206,1.0,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,3.01075,spotify:track:4wNIkl5XGiAACjFBlDWuSd
Happy,Cover Me In Sunshine,P!nk,76.0,0.476,0.594,5.0,-6.879,1.0,0.135,0.0599,0.0,0.0785,0.314,127.845,2.3508333333333336,spotify:track:6Tio0ZoDeSQnI7EBAqWer2
Happy,Run,OneRepublic,76.0,0.682,0.72,11.0,-8.173,0.0,0.0381,0.326,0.0,0.148,0.673,117.003,2.81685,spotify:track:2UbVnbE5FH6008mAm6Mmgw
Happy,Beautiful People (feat. Khalid),Ed Sheeran,76.0,0.64,0.648,5.0,-8.113,0.0,0.093975,0.124,0.0,0.0802,0.548,92.977,3.2977833333333333,spotify:track:4evmHXcjt3bTUHD1cvny97
Happy,This Feeling,The Chainsmokers,76.0,0.575,0.571,1.0,-7.906,1.0,0.0439,0.0558,0.0,0.0912,0.449,105.049,3.2991166666666665,spotify:track:4NBTZtAt1F13VvlSKe6KTl
