Mood,song_name,song_uri,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Happy,Sweetest Pie,spotify:track:7mFj0LlWtEJaEigguaWqYh,Megan Thee Stallion,76,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,201334
Happy,What A Man Gotta Do,spotify:track:4wNIkl5XGiAACjFBlDWuSd,Jonas Brothers,76,0.852,0.698,9,-7.206,1,0.0629,0.00839,1.03e-06,0.0773,0.324,113.039,180645
Happy,Cover Me In Sunshine,spotify:track:6Tio0ZoDeSQnI7EBAqWer2,P!nk,76,0.476,0.594,5,-6.879,1,0.135,0.0599,0.0,0.0785,0.314,159.702,141050
Happy,Run,spotify:track:2UbVnbE5FH6008mAm6Mmgw,OneRepublic,76,0.682,0.72,11,-8.173,0,0.0381,0.326,0.0,0.148,0.673,117.003,169011
Happy,Beautiful People (feat. Khalid),spotify:track:4evmHXcjt3bTUHD1cvny97,Ed Sheeran,76,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867
Happy,This Feeling,spotify:track:4NBTZtAt1F13VvlSKe6KTl,The Chainsmokers,76,0.575,0.571,1,-7.906,1,0.0439,0.0558,0.0,0.0912,0.449,105.049,197947
Happy,Betty (Get Money),spotify:track:4cacyP5c3PMlfnyjpg13xW,Yung Gravy,76,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,146471
Happy,Rain On Me (with Ariana Grande),spotify:track:24ySl2hOPGCDcxBxFIqWBu,Lady Gaga,76,0.672,0.855,9,-3.764,1,0.0397,0.021,0.0,0.323,0.646,123.056,182200
Happy,Higher Power,spotify:track:0939D7aT18uBDS2MTjWzct,Coldplay,76,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295
Happy,Iko Iko (My Bestie),spotify:track:7MC4XR9M9amdmKQr2iDF7i,Justin Wellington,76,0.862,0.753,5,-5.356,1,0.0625,0.131,2.01e-06,0.077,0.827,105.039,182857
